Open,High,Low,Close,Volume
42.622501,42.75,42.205002,42.342499,93420800
42.299999,43.2225,42.197498,43.1675,141095200
43.037498,43.0975,42.865002,42.924999,77636800
43.125,43.384998,43,43.067501,95273600
43.099998,43.282501,42.912498,43.055,81906000
43.407501,43.5425,43.115002,43.4925,160677200
43.720001,44.299999,43.715,44.105,117684400
43.7575,43.8475,43.522499,43.634998,109745600
43.717499,43.855,43.3125,43.587502,93902400
43.5425,44.005001,43.525002,43.752499,83799600
43.669998,43.855,43.625,43.752499,65397600
42.700001,42.8675,42.419998,42.642502,132742000
42.525002,42.695,42.427502,42.650002,85992800
42.75,42.962502,42.619999,42.77,65920800
42.630001,42.647499,42.305,42.307499,103999600
42.540001,43.075001,42.314999,43.064999,102223600
43.1325,43.637501,42.990002,43.057499,118071600
43.134998,43.3675,43.02,43.2575,89738400
43.360001,43.842499,43.262501,43.75,94640000
43.587502,43.9025,43.482498,43.587502,82271200
43.637501,43.764999,43.352501,43.5825,86336000
43.290001,43.575001,43.25,43.572498,95839600
43.647499,43.872501,43.622501,43.82,74670800
44.044998,44.34,43.912498,44.272499,101672400
44.474998,44.8475,44.035,44.047501,118263600
44.037498,44.8125,43.767502,44.775002,137547200
44.842499,45.025002,44.5625,44.814999,124773600
44.6525,44.895,44.352501,44.615002,129700400
44.325001,44.445,44.150002,44.25,108434400
44.325001,44.860001,44.205002,44.259998,130756400
44.3125,44.325001,43.299999,43.555,204420400
43.627499,43.737499,42.6325,42.7775,166116000
43,43,42.514999,42.877499,156572000
42.540001,42.540001,41.767502,41.990002,202561600
41.3825,41.842499,41.174999,41.7425,184192800
41.717499,42.110001,41.625,41.857498,129915600
41.7925,42.154999,41.689999,41.945,188923200
41.5,41.700001,40.025002,40.125,346375200
39.775002,40.970001,39,39.122501,290954000
38.7075,40.93,38.5,40.7575,272975200
40.772499,40.849998,39.767502,39.884998,206434400
40.072498,40.25,38.7575,38.787498,217562000
39.267502,39.4725,37.560001,39.102501,282690400
39.625,40.9725,39.377499,40.677502,243278000
40.487499,41.1875,40.412498,41.084999,130196800
40.759998,41.884998,40.720001,41.842499,162579600
42.447498,43.272499,42.25,43.247501,204588800
43.09,43.705002,42.942501,43.107498,160704400
43.012501,43.564999,42.855,42.962502,135722000
43.2075,43.529999,42.752499,42.767502,149886400
42.950001,43.487499,42.927502,43.125,123967600
43.4175,43.912498,43.384998,43.875,135249600
44.087502,44.8475,44.052502,44.7425,152648800
44.775002,45.119999,44.540001,44.5975,155712400
44.814999,45.154999,44.512501,44.529999,151128400
44.634998,44.945,43.165001,43.75,195208000
43.200001,44.075001,43.112499,44.052502,153816000
43.802502,44.435001,43.630001,44.205002,113605600
44.477501,44.5625,44.032501,44.1675,95154000
43.735001,43.962502,43.567501,43.7575,126814000
43.869999,44.279999,43.767502,44.235001,95096400
44.490002,45,44.3475,44.994999,128740800
45.072498,45.5975,45.052502,45.43,128828400
