Open,High,Low,Close,Volume
58.995499,59.364498,58.780499,59.112999,37344000
59.450001,59.505001,59.219002,59.305,36834000
59.1175,59.200001,58.375,58.473499,53768000
58.599998,59.5,58.525501,59.4505,53890000
59.415001,60.274502,59.415001,60.209999,62176000
60.25,60.793499,60.233002,60.4795,60442000
60.8755,61.457001,60.5,61.457001,70894000
61.799999,62.653999,61.601501,62.343498,85590000
62.845001,62.966499,62.088001,62.634998,73226000
62.2575,62.716499,61.8615,62.716499,53720000
62.987,63.838501,62.823002,63.834,62500000
63.669498,65.288002,63.669498,65.260002,108874000
66.150002,66.997002,64.614998,65.242996,144414000
65.612,65.699997,64.043999,64.75,105076000
64.697502,65.230003,64.200996,64.666,80538000
65.599998,65.650002,64.649498,64.728996,91570000
64.858498,66.372498,64.833,66.365501,82802000
66.904503,68.245003,66.866997,68.126999,103386000
68.740997,69.407997,66.900002,67.875504,136150000
68.400002,68.917,67.880997,68.897499,95060000
69.600502,70.126503,69.045502,70.102501,97146000
70.459,71.569504,70.022003,70.884003,114038000
70.158501,71.962502,69.599998,71.890999,117438000
72.565002,73.628998,72.501999,72.544502,128494000
72.25,72.994003,69.257004,69.5,182276000
73.869499,74.900002,70.699997,71.497498,222514000
70.130997,72.948997,66.036003,69.5,229900000
68.072998,72.199501,67.5895,72.141998,221336000
72.449997,73.0495,70.7575,70.838997,143254000
71.484001,71.6875,67.497002,67.525002,171572000
68.6745,69.175003,63.296501,66.980003,282830000
68.233498,69.690498,67.2005,69.311501,134778000
69.296501,70.986,69.176498,70.725502,118358000
70.3125,72.602997,70.167999,72.552498,119184000
73.344498,73.446999,71.842003,73.087997,113054000
72.8685,73.290001,72.328003,72.434502,89452000
72.324501,74.438499,72.324501,73.417503,129984000
74.25,75.1745,73.945999,74.146004,126088000
74.767998,75.126999,73.788002,74.266998,97162000
74.766998,75,74.324997,75,88362000
75.459999,76.141998,75.349998,76.097504,99100000
76.224998,76.338997,75.360497,75.598999,96176000
75.975502,76.434998,75.599998,75.622498,90300000
75.68,75.9245,73.25,74.672501,136704000
73.455002,75.052498,72.750504,75.012497,131752000
74.711998,76.268997,74.050003,76.180496,104678000
76.660004,77.106499,76.400002,76.882004,91234000
76.325996,77.294998,76.125504,77.25,83482000
77.5,77.744003,77.262497,77.593002,77252000
78.175003,78.946999,77.954002,78.944504,90686000
79.629997,80.266502,79.334999,79.919502,103484000
80.797997,80.876999,78.900497,79.408997,130638000
79.849998,80.321999,79.544502,79.550003,85188000
79.75,79.845497,78.905502,79.115997,81394000
79.172501,79.472,78.375,78.584,108500000
77.726501,78.083,76.267502,77.246498,131616000
77.516998,79.349998,77.2705,79.3255,91632000
79.322502,79.5,78.158501,79.093002,95016000
78.273499,78.692497,77.120003,77.246002,126412000
76.9505,77.450996,74.767998,74.778,160120000
76.5,77.849503,74.962502,77.792999,112494000
78.620003,78.7985,74.115997,74.852501,139992000
72.349998,72.794998,69.308502,71.570999,274106000
70.300003,72.773499,68.260002,72.366997,251622000
70.880997,71.068001,67.75,68.599503,209272000
69.569,70.699997,67.766502,69.602501,204624000
67.912003,70.769501,67.643997,70.528503,139646000
72.099503,72.977997,71.3535,72.587502,128270000
71.498497,72.625,70.013,70.261497,117646000
71.251503,71.924004,70.128502,70.304001,84164000
71.599503,71.918999,70.785004,71.810997,85082000
71.972,72.439003,71.244499,71.352501,71650000
71.974998,72.606003,71.752998,72.425003,62700000
72.457001,72.988998,71.225998,71.539497,73706000
72.25,72.349998,71.374001,72.074997,56172000
73.114998,75.359497,72.850998,75.191498,102288000
75.732498,76.690002,75.205498,76.391998,104550000
77.161003,78.426003,76.953003,77.845497,130474000
78.059998,78.059998,75.804497,76.374496,110832000
77.334503,77.400002,75.170502,75.892998,89308000
76.790001,76.974998,72.422501,73.004501,149894000
72.900002,73.499496,70.750999,73.008499,131746000
74.250504,76.471001,73.925003,75.898003,176022000
81.7005,81.904999,78.369499,78.630997,261064000
79.125,79.800003,78.046997,78.306503,109282000
78.161003,79.25,77.609001,79.112999,91442000
79.049004,79.425003,78.318001,78.484001,87206000
78.000504,78.739998,77.301003,78.603996,85038000
78.122498,79.245003,78.109497,79.047501,68872000
79.467003,80.347504,79.391502,80.007004,76038000
79.75,79.844002,79.125504,79.619499,61358000
80,80.400002,79.599998,80.400002,72746000
80.424004,80.779999,80.171997,80.454002,56350000
80.5495,80.555,79.894501,80.1455,45278000
80.199997,80.558998,80.002502,80.077003,50190000
79.389999,79.389999,78.261002,78.806,101550000
78.875,79.721497,78.833504,79.363998,51412000
79.028,79.702003,78.650002,79.087997,42952000
